bin,metric,mean,ci_lo,ci_hi,n
low,success_pct,0.7759092317183525,0.7658370707545042,0.7859813926822007,908
low,time_savings_ratio,0.8447526755621908,0.8404899550942987,0.8490153960300829,1087
low,autonomy_mean,3.287947118117816,3.2692648745768764,3.3066293616587554,1087
low,edu_years_mean,9.911048177852473,9.77856192989645,10.043534425808497,1087
medium,success_pct,0.7327608007650738,0.7245573455757882,0.7409642559543593,912
medium,time_savings_ratio,0.9090367439758879,0.9072622137540822,0.9108112741976935,1086
medium,autonomy_mean,3.359022624365313,3.34382089622112,3.3742243525095064,1086
medium,edu_years_mean,12.19788979166779,12.087588594779204,12.308190988556378,1086
high,success_pct,0.6839582557103021,0.6770272914732178,0.6908892199473864,919
high,time_savings_ratio,0.9426606332258388,0.9416026326476572,0.9437186338040204,1086
high,autonomy_mean,3.489225953542945,3.476272160490389,3.502179746595501,1086
high,edu_years_mean,13.704656646616112,13.6024734243398,13.806839868892423,1086
